order_id,customer_id,order_date,category,quantity,unit_price,discount_pct,city,payment_method,channel,customer_email
1,1204,2024-10-08 08:54:58,,1,1846.45,0,Agadir,carte,web,client1204@mail.com
2,5931,2024-01-28 20:26:03,,4,566.69,0,CASABLANCA,virement,boutique,client5931@mail.com
3,3757,14/04/2024,TEXTILE,1,910.27,10,Casablanca,,web,client3757@mail.com
4,5522,2024-10-27,Cosmetique,3,1451.83,0,,virement,web,client5522@mail.com
5,4113,2024-10-11,Textile,3,423.38,10,  Rabat  ,,mobile,client4113@mail.com
6,4786,2025-01-23,Electronique,2,1717.84,0,Rabat,virement,Web,client4786@mail.com
7,5646,2024-11-18,Maison,-1,1001.17,,CASABLANCA,especes,mobile,client5646@mail.com
8,5788,14/03/2025,Electronique,3,563.92,,casablanca,carte,mobile,client5788@mail.com
9,4458,06/03/2024,Textile,-1,1332.2,0,,Carte ,,client4458@mail.com
10,3786,24/04/2024,Alimentaire,1,1145.23,10,fes ,,web,client3786@mail.com
11,5158,22/07/2024,electronique,1,1357.66,0,Agadir,CARTE,web,client5158@mail.com
12,3519,2024-09-02 02:06:32,Alimentaire,1,232.42,0,fes ,especes,Web,client3519@mail.com
13,5322,2025-03-09,TEXTILE,2,1788.11,15,Fes,carte,mobile,client5322@mail.com
14,5819,2024-08-23 21:25:28,Electronique,1,196.06,5,casablanca,virement,web,client5819@mail.com
15,4976,2024-08-07 19:37:58,Textile,-1,622.63,20,Rabat,carte,Web,client4976@mail.com
16,1443,10/04/2024,TEXTILE,3,2005.47,5,Rabat,especes,Web,client1443@mail.com
17,1617,2025-03-29 20:02:12,Cosmetique,1,1637.32,0,casablanca,especes,Web,client1617@mail.com
18,4285,01/03/2024,,1,2463.57,,rabat,Carte ,,client4285@mail.com
19,2555,2024-10-30 07:55:34,Alimentaire,1,1874.98,,fes ,carte,,client2555@mail.com
20,5874,10/03/2024,Textile,1,2355.16,0,Agadir,CARTE,,client5874@mail.com
21,3136,2024-07-28 11:26:20,electronique,2,1001.55,10,Fes,carte,web,client3136@mail.com
22,1819,2024-03-16 19:34:28,electronique,2,348.49,0,Rabat,virement,mobile,client1819@mail.com
23,3478,09/01/2024,Alimentaire,1,2348.55,0,casablanca,virement,boutique,client3478@mail.com
24,2667,27/09/2024,,2,2265.23,0,,virement,web,
25,3145,2024-06-14,Electronique,4,1411.05,0,fes ,virement,,client3145@mail.com
26,1342,2024-11-11 13:16:35,,3,540.99,0,Marrakech,,mobile,client1342@mail.com
27,2331,2024-06-30 15:00:40,Cosmetique,1,1846.68,20,,virement,mobile,client2331@mail.com
28,1317,2025-04-26 08:05:54,Electronique,-1,887.15,5,Rabat,Carte ,mobile,client1317@mail.com
29,1568,2024-10-12,Textile,4,1705.2,15,Casablanca,virement,mobile,client1568@mail.com
30,1313,21/04/2024,Cosmetique,3,1826.79,0,Tanger,virement,web,client1313@mail.com
30,1313,21/04/2024,Cosmetique,3,1826.79,0,Tanger,virement,web,client1313@mail.com
32,2614,2025-01-07 15:42:11,Maison,3,1565.43,0,  Rabat  ,,boutique,client2614@mail.com
33,3422,10/05/2024,Electronique,4,1699.75,10,Tanger,virement,boutique,client3422@mail.com
34,5969,25/11/2024,Textile,-1,1695.56,0,,virement,,client5969@mail.com
35,1765,2024-08-28 11:18:07,Textile,2,385.44,,Agadir,CARTE,Web,client1765@mail.com
36,4145,2025-05-21 14:33:03,Cosmetique,1,,0,Tanger,especes,,client4145@mail.com
37,1994,12/04/2025,TEXTILE,3,2376.1,20,fes ,especes,Web,client1994@mail.com
38,3271,2025-06-17,Maison,2,701.0,10,Rabat,virement,boutique,client3271@mail.com
39,2235,2024-08-24,TEXTILE,1,1771.92,20,Marrakech,CARTE,web,client2235@mail.com
40,5784,21/01/2024,Cosmetique,-1,34.62,20,Tanger,CARTE,mobile,client5784@mail.com
41,4185,2024-12-10,Electronique,1,2104.45,0,Tanger,carte,Web,client4185@mail.com
42,1411,23/09/2024,,2,1147.65,20,rabat,virement,web,client1411@mail.com
43,1426,2024-12-24,Cosmetique,1,1957.46,0,Rabat,carte,,client1426@mail.com
44,1937,2024-08-11,Maison,2,1921.91,0,CASABLANCA,carte,,client1937@mail.com
45,4074,2025-02-10 07:13:15,Electronique,2,272.72,0,Agadir,virement,,client4074@mail.com
46,5144,15/12/2024,Alimentaire,-1,281.74,,  Rabat  ,CARTE,mobile,client5144@mail.com
47,3212,10/05/2025,TEXTILE,2,819.32,0,rabat,especes,Web,client3212@mail.com
48,3755,30/01/2024,Maison,1,1229.12,10,Marrakech,,boutique,client3755@mail.com
49,2565,2024-03-28,TEXTILE,4,1231.67,,,CARTE,web,client2565@mail.com
50,2993,09/11/2024,TEXTILE,-1,1392.61,15,Marrakech,virement,boutique,client2993@mail.com
51,2577,2024-11-19,Maison,1,495.02,10,  Rabat  ,carte,mobile,client2577@mail.com
52,3476,2024-01-15 19:26:50,Alimentaire,2,132.88,10,  Rabat  ,Carte ,Web,client3476@mail.com
19,2555,2024-10-30 07:55:34,Alimentaire,1,1874.98,,fes ,carte,,client2555@mail.com
54,4608,2024-12-14 06:42:44,TEXTILE,2,2353.84,0,Tanger,carte,,client4608@mail.com
55,2222,2024-11-07 03:06:04,,1,1404.02,5,fes ,CARTE,Web,client2222@mail.com
56,4512,2024-11-08,Cosmetique,1,1531.88,5,,virement,web,client4512@mail.com
57,1614,09/06/2024,Maison,-1,1729.64,0,Rabat,Carte ,boutique,client1614@mail.com
58,2912,2024-09-27,Alimentaire,2,1074.34,0,rabat,carte,web,client2912@mail.com
59,5662,2024-10-22 15:59:20,TEXTILE,-1,1727.92,10,fes ,CARTE,web,client5662@mail.com
60,3640,2024-09-13 00:56:30,Maison,2,2405.54,0,,,web,client3640@mail.com
61,5251,2025-03-28 10:07:38,electronique,4,1594.27,0,Fes,CARTE,boutique,client5251@mail.com
62,2317,2024-12-03,Textile,-1,734.78,0,Fes,virement,boutique,client2317@mail.com
63,4311,2025-06-10,TEXTILE,-1,1044.85,15,Agadir,Carte ,Web,client4311@mail.com
64,5499,14/05/2024,Alimentaire,-1,321.14,5,  Rabat  ,virement,,
65,2840,2024-04-26 16:48:02,TEXTILE,1,1255.97,10,Tanger,CARTE,mobile,client2840@mail.com
66,2561,2025-06-04 04:58:12,Maison,2,1936.23,15,fes ,carte,boutique,client2561@mail.com
67,5750,16/05/2025,electronique,-1,875.91,20,Fes,especes,mobile,client5750@mail.com
68,4365,2024-02-14,Alimentaire,-1,1768.97,20,,CARTE,web,client4365@mail.com
69,3719,2024-04-12 16:01:51,TEXTILE,-1,58.06,0,casablanca,virement,boutique,client3719@mail.com
70,1657,02/12/2024,Electronique,3,1574.46,,fes ,,web,client1657@mail.com
71,3354,20/08/2024,Alimentaire,1,1905.72,0,Fes,Carte ,boutique,client3354@mail.com
72,1459,27/10/2024,Alimentaire,4,381.01,0,CASABLANCA,carte,,client1459@mail.com
73,2972,2025-05-24 21:13:55,Electronique,2,1163.65,10,,CARTE,boutique,client2972@mail.com
74,4618,19/12/2024,,4,1731.98,10,Rabat,CARTE,web,client4618@mail.com
75,5708,2024-10-29 10:44:56,TEXTILE,4,700.71,0,Agadir,virement,mobile,client5708@mail.com
76,2557,2024-09-13,Electronique,1,2260.44,10,Fes,,boutique,client2557@mail.com
77,3417,2024-11-30 15:07:40,Maison,2,347.76,15,fes ,especes,boutique,client3417@mail.com
78,3417,12/12/2024,electronique,1,369.08,20,fes ,carte,Web,
